Year,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,Nonresident alien
2017,2529,0,7218,385,98930,14181,233969,8859,11441,10566
2016,2632,0,7186,402,104731,13318,233911,8469,13531,11047
2015,2710,0,7050,387,106706,12595,232117,7589,14201,10482
2014,2695,0,6823,374,111498,11614,233283,6676,14749,9362
2013,2822,0,6636,398,113108,11120,235461,5906,20377,8350
2012,2925,0,6553,379,118663,10364,237536,4753,22587,7724
2011,3067,0,6169,391,123924,9856,242256,4435,27951,7781
2010,3172,0,6151,470,126722,9387,246063,3150,30349,7664
2009,3249,2192,4075,271,126335,8358,244426,1949,23796,7581
2008,3127,4619,1679,157,115022,7487,233347,641,26169,8004
2007,2886,5048,122,0,104790,6241,222599,30,20780,8750
2006,2607,4867,0,0,98131,5468,214427,0,8485,8683
2005,2483,4539,0,0,99576,5040,207301,0,13139,7447
2004,2467,4455,0,0,104427,4730,220032,0,8690,7521
2003,2527,4150,0,0,96517,4715,212146,0,8649,7384
2002,2478,3987,0,0,94042,4673,212116,0,7530,7499
2001,2290,3894,0,0,89218,3673,207663,0,5637,7456
