Year,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,Nonresident alien
2017,5472,0,2031,363,1145,2876,24039,3470,4716,759
2016,5683,0,2115,316,1219,2855,24950,3305,5315,711
2015,6090,0,2172,339,1258,2865,26377,3316,6705,834
2014,6458,0,2128,619,1525,4393,29313,3351,7395,835
2013,6329,0,2056,569,1527,3816,30254,3357,6931,852
2012,6580,0,2157,412,1610,3634,31206,3202,7116,983
2011,7352,0,1959,454,1713,4199,34343,2842,7261,1303
2010,7314,0,1945,444,1714,3373,34846,2519,6488,1256
2009,7619,369,1608,354,2043,3034,35703,2265,4613,1188
2008,8122,2432,282,57,1655,2036,34307,54,4481,896
2007,7927,2551,39,0,1682,1848,35134,1,4301,1239
2006,7854,2424,0,0,1657,1787,34731,0,3925,1199
2005,9365,2379,0,0,1693,1768,37136,0,4112,1330
2004,8228,2017,0,0,1663,1616,36693,0,3709,1334
2003,9133,2030,0,0,1779,1661,38330,0,4117,1320
2002,8669,1920,0,0,1791,1626,38198,0,4539,1430
2001,7442,1775,0,0,1666,1486,36322,0,4715,1246
