Year,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,Nonresident alien
2017,19560,0,28678,3554,95839,190817,372594,29194,88791,24807
2016,19988,0,28695,3806,103481,183952,383000,25836,108468,24285
2015,19700,0,27295,3683,101080,177554,383697,33643,148178,24711
2014,21496,0,27799,4001,112492,177695,414786,43074,169948,24799
2013,22993,0,28043,4317,130907,177629,455156,29654,154279,23373
2012,25693,0,28259,4668,141735,176463,493163,24191,177058,22484
2011,28662,0,29012,4952,155688,178805,542333,21646,199501,22004
2010,30196,0,28382,5213,163105,178014,581155,17390,235208,23062
2009,29787,16795,12148,4002,141437,158172,563831,5196,270173,24421
2008,28521,27512,3710,348,120349,142903,534051,1610,209983,25723
2007,28422,27255,2611,88,101826,133918,506358,1116,201835,34184
2006,27364,26243,0,0,66353,120970,450363,0,164470,30456
2005,27270,24897,0,0,52292,116263,423429,0,211467,34097
2004,27509,24404,0,0,60811,115507,454947,0,108502,43297
2003,26285,52624,0,0,24424,100372,429993,0,119072,44311
2002,25726,20632,0,0,37015,99419,395565,0,79467,25161
2001,22747,17255,0,0,22402,86848,331324,0,126648,20487
