Year,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,Nonresident alien
2017,15425,0,518227,17568,252912,1427529,1004433,161668,157956,171548
2016,15631,0,516289,17898,262843,1397478,1028823,155373,149165,169281
2015,16139,0,511644,18266,271596,1344764,1063928,152751,155666,162570
2014,16671,0,504294,19593,282408,1287897,1086115,151124,170848,151100
2013,16821,0,505081,21067,301836,1246901,1130525,143757,199744,134264
2012,17399,0,503778,21723,259268,1169928,1111515,126670,228472,120685
2011,20119,0,524411,22872,275432,1167303,1186448,112630,287096,115068
2010,22888,0,550418,24980,297080,1159886,1283032,100337,357374,109462
2009,27379,189185,384534,21554,298959,1080519,1314316,43298,510618,106928
2008,33163,230982,375916,22870,313759,1055695,1379491,3771,471438,106039
2007,28037,584284,11524,1070,281459,959038,1316983,1085,405034,102212
2006,27804,584942,0,0,261686,880147,1305732,0,386134,93322
2005,27188,569533,0,0,260292,842613,1307850,0,373528,92569
2004,28378,566021,0,0,256871,820734,1324996,0,368509,93166
2003,28086,574642,0,0,249075,793549,1352157,0,362232,101180
2002,32080,598277,0,0,275388,848909,1490796,0,362415,97917
2001,33267,583032,0,0,267084,823933,1503916,0,356753,95898
