Year,"American Indian or Alaska Native","Asian or Pacific Islander",Asian,"Native Hawaiian or Other Pacific Islander","Black or African American","Hispanic or Latino",White,"Two or more races","Race/ethnicity unknown","Nonresident alien"
2017,4928,0,47685,3438,275494,404835,611484,44550,64648,58763
2016,4964,046832,3561,285910,392603,632002,42322,63007,59130
2015,5052,0,45354,3600,291071,380829,644719,40344,69208,56119
2014,5279,0,44814,3720,307691,378177,669665,39146,83510,51124
2013,5646,0,44202,3557,319395,376871,691976,36601,97295,46665
2012,6116,0,44516,3246,332483,372904,718071,35882,108399,41339
2011,6439,0,45594,3131,341744,374433,744608,26596,121971,41219
2010,6785,0,46522,2685,340721,359204,763820,19056,109130,40988
2009,7490,42970,6289,525322909,330860,763897,5359,97063,39091
2008,6330,43779,2706,1108,284050,298717,725241,1551,81075,39438
2007,5691,42523,1216,140258657,271074,699863,228,73168,39051
2006,5426,41494,0,0,250169,254746,686446,0,68037,38942
2005,5386,39728,0,0,245728,241880,685270,0,63325,38431
2004,5279,39439,0,0,243657,237234,690836,0,60069,42510
2003,5119,41412,0,0,232020,228198,686391,0,54846,40107
2002,5117,36594,0,0,219150,209663,677259,0,44516,39659
2001,4941,35746,0,0,205444,200764,657448,0,44867,38326
